"DeptCodeDW","Province","2010-11","2011-12","2010-11","2011-12","2012-13"
"CFGB","NS",0,0,0,0,0
"CFGB","PE",0,0,0,0,0
"CFGB","NL",0,0,0,0,0
"CFGB","Abroad",0,0,0,0,0
"CFIA","NU",0,0,0,0,0
"CFIA","NT",0,0,0,0,0
"CFIA","YT",0,0,0,0,0
"CFIA","BC",535,535,535,535,527
"CFIA","AB",668,632,668,632,587
"CFIA","SK",250,246,250,246,237
"CFIA","MB",287,285,287,285,279
"CFIA","NCR ON",1991,1936,1991,1936,1747
"CFIA","NCR QC",1,2,1,2,2
"CFIA","ON (minus NCR)",1101,1090,1101,1090,1057
"CFIA","QC (minus NCR)",1086,1089,1086,1089,1078
"CFIA","NB",272,285,272,285,286
"CFIA","NS",219,211,219,211,193
"CFIA","PE",134,131,134,131,133
"CFIA","NL",144,138,144,138,128
"CFIA","Abroad",0,0,0,0,0
"CGC","NU",0,0,0,0,0
"CGC","NT",0,0,0,0,0
"CGC","YT",0,0,0,0,0
"CGC","BC",233,224,233,224,218
"CGC","AB",4,3,4,3,4
"CGC","SK",10,9,10,9,9
"CGC","MB",263,270,263,270,269
"CGC","NCR ON",1,1,1,1,1
"CGC","NCR QC",0,0,0,0,0
"CGC","ON (minus NCR)",94,118,94,118,79
"CGC","QC (minus NCR)",50,55,50,55,45
"CGC","NB",0,0,0,0,0
"CGC","NS",0,0,0,0,0
"CGC","PE",0,0,0,0,0
"CGC","NL",0,0,0,0,0
"CGC","Abroad",0,0,0,0,0
"CH","NU",0,0,0,0,0
"CH","NT",3,3,3,3,1
"CH","YT",4,5,4,5,2
"CH","BC",51,46,51,46,39
"CH","AB",23,15,23,15,10
"CH","SK",18,18,18,18,13
"CH","MB",37,33,37,33,25
"CH","NCR ON",130,103,130,103,85
"CH","NCR QC",1588,1559,1588,1559,1406
"CH","ON (minus NCR)",68,63,68,63,57
"CH","QC (minus NCR)",70,65,70,65,59
"CH","NB",38,33,38,33,22
"CH","NS",12,15,12,15,14
"CH","PE",9,9,9,9,9
"CH","NL",15,14,15,14,11
"CH","Abroad",0,0,0,0,0
"CHRC","NU",0,0,0,0,0
"CHRC","NT",0,0,0,0,0
"CHRC","YT",0,0,0,0,0
"CHRC","BC",1,1,1,1,1
"CHRC","AB",6,6,6,6,7
"CHRC","SK",0,0,0,0,0
"CHRC","MB",2,2,2,2,4
"CHRC","NCR ON",178,191,178,191,193
"CHRC","NCR QC",2,2,2,2,2
"CHRC","ON (minus NCR)",2,2,2,2,2
"CHRC","QC (minus NCR)",5,5,5,5,6
"CHRC","NB",0,0,0,0,0
"CHRC","NS",1,0,1,0,0
"CHRC","PE",0,0,0,0,0
"CHRC","NL",0,0,0,0,0
"CHRC","Abroad",0,0,0,0,0
"CHRT","NU",0,0,0,0,0
"CHRT","NT",0,0,0,0,0
"CHRT","YT",0,0,0,0,0
"CHRT","BC",0,0,0,0,0
"CHRT","AB",0,0,0,0,0
"CHRT","SK",0,0,0,0,0
"CHRT","MB",0,0,0,0,0
"CHRT","NCR ON",23,20,23,20,21
"CHRT","NCR QC",0,0,0,0,0
"CHRT","ON (minus NCR)",0,0,0,0,0
"CHRT","QC (minus NCR)",0,0,0,0,0
"CHRT","NB",0,0,0,0,0
"CHRT","NS",0,0,0,0,0
"CHRT","PE",0,0,0,0,0
"CHRT","NL",0,0,0,0,0
"CHRT","Abroad",0,0,0,0,0
"CI","NU",0,0,0,0,0
"CI","NT",1,1,1,1,1
"CI","YT",1,1,1,1,0
"CI","BC",214,234,214,234,169
"CI","AB",343,334,343,334,330
"CI","SK",31,30,31,30,21
"CI","MB",80,70,80,70,59
"CI","NCR ON",2261,2254,2261,2254,2324
"CI","NCR QC",2,2,2,2,0
"CI","ON (minus NCR)",810,853,810,853,748
"CI","QC (minus NCR)",551,511,551,511,432
"CI","NB",22,18,22,18,13
"CI","NS",440,461,440,461,513
"CI","PE",4,3,4,3,1
"CI","NL",14,9,14,9,7
"CI","Abroad",222,236,222,236,232
