"DeptCodeDW","Age Band","2010-11","2011-12","2010-11","2011-12","2012-13"
"CIHR","40-44",64,66,64,66,76
"CIHR","45-49",71,64,71,64,51
"CIHR","50-54",53,54,53,54,49
"CIHR","55-59",31,34,31,34,35
"CIHR","60-64",10,14,10,14,12
"CIHR","65-69",2,1,2,1,1
"CIHR","Missing",0,0,0,0,0
"CIRB","< 20",0,0,0,0,0
"CIRB","20-24",1,1,1,1,2
"CIRB","25-29",13,8,13,8,6
"CIRB","30-34",5,8,5,8,10
"CIRB","35-39",11,8,11,8,7
"CIRB","40-44",9,10,9,10,12
"CIRB","45-49",17,15,17,15,12
"CIRB","50-54",17,18,17,18,21
"CIRB","55-59",18,8,18,8,9
"CIRB","60-64",9,11,9,11,9
"CIRB","65-69",2,2,2,2,3
"CIRB","Missing",0,0,0,0,0
"CITT","< 20",0,0,0,0,0
"CITT","20-24",4,5,4,5,3
"CITT","25-29",4,5,4,5,7
"CITT","30-34",11,8,11,8,10
"CITT","35-39",16,16,16,16,13
"CITT","40-44",13,17,13,17,16
"CITT","45-49",10,7,10,7,5
"CITT","50-54",9,9,9,9,9
"CITT","55-59",12,9,12,9,9
"CITT","60-64",2,1,2,1,1
"CITT","65-69",0,0,0,0,0
"CITT","Missing",0,0,0,0,0
"CPCC","< 20",0,0,0,0,0
"CPCC","20-24",0,0,0,0,0
"CPCC","25-29",0,0,0,0,3
"CPCC","30-34",0,0,0,0,0
"CPCC","35-39",0,0,0,0,0
"CPCC","40-44",0,0,0,0,1
"CPCC","45-49",0,0,0,0,1
"CPCC","50-54",2,2,2,2,1
"CPCC","55-59",3,2,3,2,3
"CPCC","60-64",0,0,0,0,0
"CPCC","65-69",0,0,0,0,0
"CPCC","Missing",0,0,0,0,0
"CRTC","< 20",0,0,0,0,2
"CRTC","20-24",12,17,12,17,8
"CRTC","25-29",41,42,41,42,44
"CRTC","30-34",61,69,61,69,66
"CRTC","35-39",52,59,52,59,68
"CRTC","40-44",34,41,34,41,43
"CRTC","45-49",59,63,59,63,57
"CRTC","50-54",78,71,78,71,72
"CRTC","55-59",51,52,51,52,45
"CRTC","60-64",30,26,30,26,29
"CRTC","65-69",5,10,5,10,10
"CRTC","70 +",0,1,0,1,0
"CRTC","Missing",0,0,0,0,0
"CSA","< 20",3,3,3,3,0
"CSA","20-24",38,30,38,30,24
"CSA","25-29",60,58,60,58,28
"CSA","30-34",79,69,79,69,50
"CSA","35-39",107,105,107,105,102
"CSA","40-44",116,113,116,113,104
"CSA","45-49",129,136,129,136,120
"CSA","50-54",118,122,118,122,120
"CSA","55-59",66,69,66,69,68
"CSA","60-64",44,38,44,38,29
"CSA","65-69",4,11,4,11,18
"CSA","70 +",2,1,2,1,0
"CSA","Missing",0,0,0,0,0
"CSC","< 20",16,7,16,7,7
"CSC","20-24",505,519,505,519,392
"CSC","25-29",1729,1858,1729,1858,1726
"CSC","30-34",2362,2491,2362,2491,2375
"CSC","35-39",3047,3070,3047,3070,2905
"CSC","40-44",2866,3111,2866,3111,3164
"CSC","45-49",2911,2910,2911,2910,2853
"CSC","50-54",2443,2522,2443,2522,2536
"CSC","55-59",1641,1686,1641,1686,1697
"CSC","60-64",626,663,626,663,647
"CSC","65-69",122,149,122,149,170
"CSC","70 +",21,26,21,26,29
"CSC","Missing",0,0,0,0,0
"CSEC","< 20",0,0,0,0,1
"CSEC","20-24",0,75,0,75,65
"CSEC","25-29",0,172,0,172,179
"CSEC","30-34",0,326,0,326,320
"CSEC","35-39",0,282,0,282,335
"CSEC","40-44",0,253,0,253,266
"CSEC","45-49",0,315,0,315,311
"CSEC","50-54",0,330,0,330,342
"CSEC","55-59",0,147,0,147,162
"CSEC","60-64",0,61,0,61,63
"CSEC","65-69",0,17,0,17,24
"CSEC","70 +",0,7,0,7,7
"CSEC","Missing",0,0,0,0,0
"CTA","< 20",0,1,0,1,1
"CTA","20-24",17,13,17,13,13
"CTA","25-29",24,25,24,25,14
"CTA","30-34",29,28,29,28,28
"CTA","35-39",28,36,28,36,35
"CTA","40-44",31,23,31,23,30
"CTA","45-49",42,38,42,38,40
"CTA","50-54",50,45,50,45,42
"CTA","55-59",21,26,21,26,28
"CTA","60-64",12,9,12,9,7
"CTA","65-69",3,6,3,6,5
"CTA","70 +",0,0,0,0,1
