"Organizations",,"Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2012-13"
"OCOL",5,"102,169","87,003","102,169","87,003","331,921"
"OCOL",6,"330,831","323,046","330,831","323,046","106,093"
"OCOL",7,"154,928","140,446","154,928","140,446","136,840"
"OCOL",9,"492,929","218,835","492,929","218,835","357,338"
"OCOL",12,"1,585",750,"1,585",750,363
"OCSEC",1,"900,653","1,018,064","900,653","1,018,064","907,567"
"OCSEC",2,"12,995","15,997","12,995","15,997","15,412"
"OCSEC",3,"21,125","11,652","21,125","11,652","59,131"
"OCSEC",4,"434,688","386,906","434,688","386,906","305,572"
"OCSEC",5,"170,707","168,110","170,707","168,110","217,803"
"OCSEC",6,"1,249",235,"1,249",235,"1,515"
"OCSEC",7,"13,945","12,164","13,945","12,164","10,383"
"OCSEC",8,0,"194,740",0,"194,740","735,745"
"OCSEC",9,"59,775","130,560","59,775","130,560","32,590"
"OCSEC",12,"-9,178","4,000","-9,178","4,000",0
"OEC",1,"4,895,436","5,197,557","4,895,436","5,197,557","5,344,726"
"OEC",2,"67,151","52,625","67,151","52,625","41,157"
"OEC",3,"7,818","14,255","7,818","14,255","6,494"
"OEC",4,"898,543","1,097,245","898,543","1,097,245","601,920"
"OEC",5,"24,634","21,338","24,634","21,338","53,365"
"OEC",6,"34,620","62,880","34,620","62,880","19,811"
"OEC",7,"44,560","41,000","44,560","41,000","32,264"
"OEC",9,"42,108","150,932","42,108","150,932","353,765"
"OEC",12,"1,058",32,"1,058",32,-53
"OCI",1,"3,212,258","3,973,286","3,212,258","3,973,286","3,632,181"
"OCI",2,"329,030","299,143","329,030","299,143","285,760"
"OCI",3,"61,327","37,228","61,327","37,228","71,502"
"OCI",4,"361,260","480,566","361,260","480,566","451,388"
"OCI",5,"29,735","33,819","29,735","33,819","17,684"
"OCI",6,"32,442","14,279","32,442","14,279","30,720"
"OCI",7,"23,005","22,268","23,005","22,268","38,620"
"OCI",9,"28,898","75,986","28,898","75,986","48,330"
"OCI",12,624,93,624,93,201
"ODPP",1,"100,573,209","109,771,759","100,573,209","109,771,759","112,183,029"
"ODPP",2,"6,617,355","6,891,587","6,617,355","6,891,587","7,214,118"
"ODPP",3,"800,550","760,542","800,550","760,542","745,635"
"ODPP",4,"41,776,339","41,836,499","41,776,339","41,836,499","41,915,413"
"ODPP",5,"1,155,791","1,456,542","1,155,791","1,456,542","1,415,185"
"ODPP",6,"649,421","2,549,499","649,421","2,549,499","2,431,087"
"ODPP",7,"1,257,074","1,546,646","1,257,074","1,546,646","1,517,277"
"ODPP",9,"1,708,430","1,456,418","1,708,430","1,456,418","2,249,572"
"ODPP",12,"5,369,242","6,613,013","5,369,242","6,613,013","8,334,989"
"ODPP",21,"-130,810","-211,252","-130,810","-211,252","-113,469"
"ODPP",22,"-13,440,793","-16,227,602","-13,440,793","-16,227,602","-14,526,014"
"OPSIC",1,"3,545,843","3,628,091","3,545,843","3,628,091","3,961,472"
"OPSIC",2,"101,295","73,197","101,295","73,197","85,608"
"OPSIC",3,"81,427","100,642","81,427","100,642","97,500"
"OPSIC",4,"1,390,230","1,322,022","1,390,230","1,322,022","1,079,689"
"OPSIC",5,"24,511","36,041","24,511","36,041","195,828"
"OPSIC",6,"26,421","43,737","26,421","43,737","3,624"
"OPSIC",7,"39,264","64,839","39,264","64,839","28,442"
"OPSIC",8,"1,816","152,068","1,816","152,068","7,146"
"OPSIC",9,"112,662","229,769","112,662","229,769","39,172"
"OPSIC",10,0,"15,438",0,"15,438","44,472"
"OPSIC",12,230,18,230,18,42
"OSFI",1,"78,295,563","90,737,081","78,295,563","90,737,081","94,656,948"
"OSFI",2,"4,217,096","4,259,755","4,217,096","4,259,755","4,365,141"
"OSFI",3,"850,636","895,645","850,636","895,645","1,051,735"
"OSFI",4,"10,728,325","12,132,219","10,728,325","12,132,219","12,461,148"
"OSFI",5,"6,258,369","6,781,083","6,258,369","6,781,083","9,070,531"
"OSFI",6,"1,314,684","1,523,864","1,314,684","1,523,864","352,079"
"OSFI",7,"383,707","405,893","383,707","405,893","454,847"
"OSFI",8,"331,936","541,214","331,936","541,214","1,557,677"
"OSFI",9,"3,256,381","7,226,767","3,256,381","7,226,767","7,625,221"
"OSFI",12,"268,107","319,537","268,107","319,537","-2,955,435"
"OSFI",21,"-85,101,952","-130,160,714","-85,101,952","-130,160,714","-123,308,718"
"OSFI",22,"-5,055,250","-7,267,156","-5,055,250","-7,267,156","-5,643,909"
"IPC",1,"23,802,187","27,255,923","23,802,187","27,255,923","27,904,086"
"IPC",2,"1,131,195","1,076,977","1,131,195","1,076,977","879,390"
"IPC",3,"862,031","750,906","862,031","750,906","556,422"
"IPC",4,"5,708,445","7,197,224","5,708,445","7,197,224","5,741,058"
"IPC",5,"167,309","167,014","167,309","167,014","728,756"
"IPC",6,"689,921","549,048","689,921","549,048","148,135"
"IPC",7,"340,514","315,239","340,514","315,239","283,968"
"IPC",9,"2,267,574","1,021,467","2,267,574","1,021,467","1,088,233"
"IPC",10,"446,385","432,587","446,385","432,587","499,240"
"IPC",12,"22,178","24,311","22,178","24,311","2,250"
"CLVM",12,"28,986,795","30,373,000","28,986,795","30,373,000","24,472,000"
"PPP",12,"253,500,000","287,700,000","253,500,000","287,700,000","287,450,000"
"PCA",1,"386,815,905","383,317,106","386,815,905","383,317,106","387,926,592"
"PCA",2,"27,074,787","20,332,754","27,074,787","20,332,754","12,719,446"
"PCA",3,"11,410,912","10,695,334","11,410,912","10,695,334","8,843,731"
"PCA",4,"172,364,638","88,829,244","172,364,638","88,829,244","68,779,926"
"PCA",5,"17,909,418","14,348,576","17,909,418","14,348,576","14,389,890"
"PCA",6,"108,243,913","62,017,682","108,243,913","62,017,682","52,376,566"
"PCA",7,"43,727,611","39,499,926","43,727,611","39,499,926","36,441,743"
"PCA",8,"52,313,315","10,107,756","52,313,315","10,107,756","2,350,742"
"PCA",9,"27,505,959","20,696,882","27,505,959","20,696,882","15,475,099"
"PCA",10,"16,877,040","13,652,180","16,877,040","13,652,180","13,736,596"
"PCA",12,"21,472,151","14,514,463","21,472,151","14,514,463","17,507,259"
"PMPRB",1,"6,654,928","7,028,704","6,654,928","7,028,704","6,579,316"
"PMPRB",2,"185,776","171,250","185,776","171,250","158,433"
"PMPRB",3,"48,120","26,675","48,120","26,675","47,767"
"PMPRB",4,"1,966,124","1,504,621","1,966,124","1,504,621","856,333"
"PMPRB",5,"11,691","12,049","11,691","12,049","116,419"
"PMPRB",6,"138,218","139,135","138,218","139,135","15,584"
"PMPRB",7,"244,756","262,304","244,756","262,304","174,933"
"PMPRB",9,"220,627","49,473","220,627","49,473","105,955"
"PMPRB",12,467,"2,560,165",467,"2,560,165","2,064"
"PCO",1,"115,564,601","119,436,188","115,564,601","119,436,188","109,286,717"
"PCO",2,"7,183,268","5,110,799","7,183,268","5,110,799","2,882,795"
"PCO",3,"2,349,545","1,624,475","2,349,545","1,624,475","2,725,324"
"PCO",4,"19,551,327","17,066,216","19,551,327","17,066,216","9,619,468"
"PCO",5,"2,343,634","1,925,387","2,343,634","1,925,387","1,426,117"
"PCO",6,"2,271,767","2,036,681","2,271,767","2,036,681","596,164"
"PCO",7,"1,366,008","1,100,266","1,366,008","1,100,266","880,266"
"PCO",9,"7,284,958","4,352,997","7,284,958","4,352,997","2,662,885"
"PCO",10,"1,856,550","2,773,288","1,856,550","2,773,288","44,601"
"PCO",12,"159,019","3,516","159,019","3,516","108,104"
"PACS",1,"228,474","110,506","228,474","110,506",0
"PACS",2,890,0,890,0,0
"PACS",4,"56,254","24,183","56,254","24,183",0
"PACS",5,"2,858",228,"2,858",228,0
"PACS",7,671,163,671,163,0
"PACS",9,"4,986",0,"4,986",0,0
"PHAC",1,"247,274,808","265,355,640","247,274,808","265,355,640","240,625,506"
"PHAC",2,"18,966,829","14,326,215","18,966,829","14,326,215","8,673,330"
"PHAC",3,"5,092,054","3,807,863","5,092,054","3,807,863","12,881,364"
"PHAC",4,"83,744,970","83,447,097","83,744,970","83,447,097","99,721,137"
"PHAC",5,"7,270,799","7,072,603","7,270,799","7,072,603","4,953,755"
"PHAC",6,"25,091,330","5,999,869","25,091,330","5,999,869","4,777,630"
"PHAC",7,"18,961,958","14,427,643","18,961,958","14,427,643","25,667,980"
"PHAC",8,0,"20,380,076",0,"20,380,076","6,836,945"
"PHAC",9,"13,644,859","14,623,069","13,644,859","14,623,069","12,393,999"
"PHAC",10,"184,115,436","193,291,760","184,115,436","193,291,760","201,062,716"
"PHAC",12,"13,997,261","13,770,362","13,997,261","13,770,362","2,061,867"
"PHAC",22,"-40,212","-2,658","-40,212","-2,658",0
"PSEP",1,"106,737,504","117,341,796","106,737,504","117,341,796","111,916,373"
"PSEP",2,"8,510,790","5,406,680","8,510,790","5,406,680","4,559,393"
"PSEP",3,"1,607,579","2,663,970","1,607,579","2,663,970","2,287,675"
"PSEP",4,"24,302,566","20,786,241","24,302,566","20,786,241","18,791,361"
"PSEP",5,"5,792,569","5,328,747","5,792,569","5,328,747","4,524,060"
"PSEP",6,"1,501,298","2,101,532","1,501,298","2,101,532","1,151,998"
"PSEP",7,"854,004","1,003,389","854,004","1,003,389","707,871"
"PSEP",8,"1,217,212","1,264,535","1,217,212","1,264,535","2,906,604"
"PSEP",9,"5,225,215","2,975,171","5,225,215","2,975,171","4,715,489"
"PSEP",10,"376,766,793","244,162,360","376,766,793","244,162,360","434,902,027"
"PSEP",12,"81,626","126,528","81,626","126,528","56,060"
"PSEP",21,0,0,0,0,"-863,640"
"PSEP",22,0,"-1,596,153",0,"-1,596,153","-1,381,492"
"PSC",1,"92,328,931","98,559,477","92,328,931","98,559,477","91,245,678"
"PSC",2,"2,447,549","1,481,454","2,447,549","1,481,454","654,798"
"PSC",3,"450,782","370,638","450,782","370,638","234,321"
"PSC",4,"10,362,773","9,583,965","10,362,773","9,583,965","8,878,138"
"PSC",5,"1,022,786","1,363,170","1,022,786","1,363,170","1,968,815"
"PSC",6,"2,031,356","1,417,547","2,031,356","1,417,547","101,556"
"PSC",7,"680,999","597,785","680,999","597,785","336,022"
"PSC",9,"2,091,941","2,671,476","2,091,941","2,671,476","427,533"
"PSC",12,"425,642","439,571","425,642","439,571","460,754"
"PSC",21,"-17,224","-84,891","-17,224","-84,891","-8,532"
"PSC",22,"-10,850,436","-10,794,310","-10,850,436","-10,794,310","-8,569,017"
"PSSRB",1,"8,439,110","9,589,259","8,439,110","9,589,259","9,117,361"
"PSSRB",2,"527,975","778,167","527,975","778,167","600,308"
"PSSRB",3,"46,766","52,567","46,766","52,567","83,342"
"PSSRB",4,"1,628,079","2,031,368","1,628,079","2,031,368","2,776,745"
"PSSRB",5,"499,830","519,876","499,830","519,876","560,725"
"PSSRB",6,"88,689","79,956","88,689","79,956","31,184"
"PSSRB",7,"172,892","177,197","172,892","177,197","133,510"
"PSSRB",9,"655,842","360,165","655,842","360,165","474,820"
"PSSRB",12,"-170,407","-141,855","-170,407","-141,855","-143,655"
"PSST",1,"3,887,672","4,127,122","3,887,672","4,127,122","4,155,750"
"PSST",2,"160,531","227,085","160,531","227,085","143,747"
"PSST",3,"40,479","50,968","40,479","50,968","43,612"
"PSST",4,"229,812","249,344","229,812","249,344","568,334"
"PSST",5,"182,847","141,026","182,847","141,026","179,295"
"PSST",6,"1,757","5,227","1,757","5,227",632
"PSST",7,"23,334","18,248","23,334","18,248","14,014"
"PSST",9,"88,056","10,913","88,056","10,913","4,732"
"PSST",12,"132,350","106,142","132,350","106,142","-1,309"
"GSC",1,"1,241,438,848","1,247,720,723","1,241,438,848","1,247,720,723","1,134,166,554"
"GSC",2,"227,828,336","126,223,882","227,828,336","126,223,882","86,426,357"
"GSC",3,"14,226,845","11,419,976","14,226,845","11,419,976","10,536,835"
"GSC",4,"1,797,062,450","1,531,381,556","1,797,062,450","1,531,381,556","1,505,230,194"
"GSC",5,"1,125,621,939","1,123,792,385","1,125,621,939","1,123,792,385","1,165,881,183"
"GSC",6,"1,298,694,741","1,040,644,185","1,298,694,741","1,040,644,185","947,995,414"
"GSC",7,"202,178,306","231,923,797","202,178,306","231,923,797","243,216,581"
"GSC",8,"445,951,891","363,683,642","445,951,891","363,683,642","349,105,397"
"GSC",9,"106,647,058","69,720,811","106,647,058","69,720,811","73,426,101"
"GSC",10,"3,383,465","5,211,719","3,383,465","5,211,719","4,429,304"
"GSC",12,"544,084,039","545,371,079","544,084,039","545,371,079","582,817,104"
"GSC",21,"-316,951,218","-376,477,381","-316,951,218","-376,477,381","-374,952,648"
"GSC",22,"-3,609,599,879","-3,127,107,830","-3,609,599,879","-3,127,107,830","-2,990,745,120"
"CT",1,"888,787","939,233","888,787","939,233","1,065,011"
"CT",2,"92,596","160,636","92,596","160,636","183,362"
"CT",3,"32,584","89,279","32,584","89,279","41,026"
"CT",4,"457,516","331,046","457,516","331,046","336,585"
"CT",5,"4,623","12,714","4,623","12,714","10,590"
"CT",6,0,95,0,95,780
"CT",7,"32,410","40,099","32,410","40,099","45,827"
"CT",9,"17,404","15,594","17,404","15,594","53,626"
"CT",12,0,0,0,0,5
"RPSDP",1,"650,323","992,774","650,323","992,774","1,153,147"
"RPSDP",2,"22,759","21,543","22,759","21,543","20,157"
"RPSDP",3,"1,659","6,846","1,659","6,846","4,172"
"RPSDP",4,"200,999","327,707","200,999","327,707","264,105"
"RPSDP",5,"10,268","18,072","10,268","18,072","89,738"
"RPSDP",6,"23,299","211,399","23,299","211,399","53,084"
"RPSDP",7,"9,946","24,990","9,946","24,990","32,204"
"RPSDP",9,"20,959","82,501","20,959","82,501","42,848"
"RPSDP",12,96,771,96,771,286
"RSCT",1,"764,923","807,197","764,923","807,197","1,000,325"
"RSCT",2,"75,245","360,246","75,245","360,246","295,969"
"RSCT",3,"8,721","32,249","8,721","32,249","15,702"
"RSCT",4,"732,137","360,667","732,137","360,667","274,620"
"RSCT",5,"458,176","548,489","458,176","548,489","424,181"
"RSCT",6,"35,241","35,429","35,241","35,429","12,679"
"RSCT",7,"8,686","17,567","8,686","17,567","16,304"
"RSCT",8,0,"147,098",0,"147,098","17,321"
"RSCT",9,"81,943","125,312","81,943","125,312","80,473"
"RSCT",12,199,23,199,23,39
"RCMP",1,"3,048,547,772","3,133,953,933","3,048,547,772","3,133,953,933","3,440,897,488"
"RCMP",2,"301,718,706","211,803,037","301,718,706","211,803,037","160,396,180"
"RCMP",3,"4,666,888","5,143,769","4,666,888","5,143,769","2,361,233"
"RCMP",4,"495,062,044","443,188,516","495,062,044","443,188,516","459,237,324"
"RCMP",5,"100,957,607","89,306,878","100,957,607","89,306,878","98,873,985"
"RCMP",6,"93,605,765","86,764,626","93,605,765","86,764,626","86,331,889"
"RCMP",7,"123,793,841","124,650,649","123,793,841","124,650,649","123,241,696"
"RCMP",8,"81,591,021","88,755,918","81,591,021","88,755,918","68,813,371"
"RCMP",9,"244,520,096","260,222,367","244,520,096","260,222,367","216,262,752"
"RCMP",10,"127,076,041","137,972,680","127,076,041","137,972,680","149,966,044"
"RCMP",12,"76,707,044","79,466,049","76,707,044","79,466,049","74,935,162"
"RCMP",21,"-1,590,385,330","-1,686,200,927","-1,590,385,330","-1,686,200,927","-1,756,465,535"
"RCMP",22,"-450,853","-451,683","-450,853","-451,683","-452,230"
"ERC",1,"1,196,466","1,076,193","1,196,466","1,076,193","1,090,718"
"ERC",2,"24,309","24,888","24,309","24,888","26,582"
"ERC",3,"24,244","21,030","24,244","21,030","32,101"
"ERC",4,"275,847","527,694","275,847","527,694","427,671"
"ERC",5,"31,106","4,464","31,106","4,464","3,479"
"ERC",6,"27,768",0,"27,768",0,0
"ERC",7,"11,451","17,323","11,451","17,323","13,782"
"ERC",8,"172,232",0,"172,232",0,0
"ERC",9,"20,919","20,299","20,919","20,299","1,262"
"ERC",12,24,0,24,0,0
"PCC",1,"4,867,457","5,603,681","4,867,457","5,603,681","5,968,704"
"PCC",2,"232,615","221,069","232,615","221,069","243,918"
"PCC",3,"33,673","19,411","33,673","19,411","9,670"
"PCC",4,"1,660,866","1,236,908","1,660,866","1,236,908","1,179,905"
"PCC",5,"101,886","103,641","101,886","103,641","85,632"
"PCC",6,"105,352","469,608","105,352","469,608","57,940"
"PCC",7,"128,773","87,372","128,773","87,372","82,977"
"PCC",8,"123,383",0,"123,383",0,0
"PCC",9,"209,941","139,212","209,941","139,212","382,266"
"PCC",12,57,0,57,0,-11
"SIRC",1,"2,045,736","2,103,804","2,045,736","2,103,804","2,049,438"
"SIRC",2,"170,887","148,827","170,887","148,827","217,213"
"SIRC",3,"44,702","39,783","44,702","39,783","43,763"
"SIRC",4,"243,722","413,896","243,722","413,896","491,038"
"SIRC",5,"17,168","13,478","17,168","13,478","26,579"
"SIRC",6,"23,653","36,261","23,653","36,261","4,274"
"SIRC",7,"20,105","20,714","20,105","20,714","24,334"
"SIRC",9,"116,594","56,709","116,594","56,709","44,580"
"SIRC",12,756,82,756,82,54
"OSEO",1,"701,936","700,734","701,936","700,734","593,921"
"OSEO",2,"8,716","30,422","8,716","30,422","11,485"
"OSEO",3,"25,921","28,459","25,921","28,459",0
"OSEO",4,"27,568","23,924","27,568","23,924","26,661"
"OSEO",5,960,709,960,709,"9,609"
"OSEO",6,200,"9,614",200,"9,614",182
"OSEO",7,"4,403","5,574","4,403","5,574","5,210"
"OSEO",9,"6,191",0,"6,191",0,"2,561"
"OSEO",12,11,6,11,6,0
"SHARE",1,0,"255,540,712",0,"255,540,712","612,626,730"
"SHARE",2,0,"286,623,569",0,"286,623,569","488,523,308"
"SHARE",3,0,"908,003",0,"908,003","1,822,103"
"SHARE",4,0,"196,604,908",0,"196,604,908","173,387,884"
"SHARE",5,0,"8,417,153",0,"8,417,153","210,813,801"
"SHARE",6,0,"109,259,120",0,"109,259,120","67,410,860"
"SHARE",7,0,"3,274,701",0,"3,274,701","9,446,302"
"SHARE",8,0,"46,580",0,"46,580",0
"SHARE",9,0,"149,992,079",0,"149,992,079","185,660,703"
"SHARE",12,0,"1,498,333",0,"1,498,333","756,309"
"SHARE",21,0,"-10,155,103",0,"-10,155,103","-8,877,308"
"SHARE",22,0,"-379,665,831",0,"-379,665,831","-360,421,598"
"SSHRC",1,"19,848,725","20,909,111","19,848,725","20,909,111","21,837,293"
"SSHRC",2,"1,308,252","1,102,286","1,308,252","1,102,286","1,144,101"
"SSHRC",3,"390,324","286,980","390,324","286,980","365,497"
"SSHRC",4,"3,994,896","3,135,562","3,994,896","3,135,562","2,345,664"
"SSHRC",5,"186,672","135,109","186,672","135,109","491,453"
"SSHRC",6,"539,401","65,174","539,401","65,174","255,438"
"SSHRC",7,"135,990","126,414","135,990","126,414","81,883"
"SSHRC",9,"977,892","1,095,464","977,892","1,095,464","1,260,055"
"SSHRC",10,"661,708,989","670,999,277","661,708,989","670,999,277","668,650,802"
"SSHRC",12,"4,785","-1,716","4,785","-1,716",396
"SCA",12,"7,788,900","8,059,060","7,788,900","8,059,060","10,318,993"
"SC",1,"525,767,663","594,999,222","525,767,663","594,999,222","556,301,534"
"SC",2,"37,581,036","54,528,611","37,581,036","54,528,611","14,383,912"
"SC",3,"19,725,811","14,108,402","19,725,811","14,108,402","603,891"
"SC",4,"37,909,719","162,517,183","37,909,719","162,517,183","17,139,410"
"SC",5,"8,347,104","9,379,770","8,347,104","9,379,770","12,586,549"
"SC",6,"16,412,527","9,422,402","16,412,527","9,422,402","1,047,029"
"SC",7,"8,943,093","6,639,276","8,943,093","6,639,276","4,998,371"
"SC",9,"15,231,931","6,318,914","15,231,931","6,318,914","3,945,496"
"SC",10,"560,800","560,800","560,800","560,800",0
"SC",12,"53,244","83,100","53,244","83,100","64,000"
"SC",21,"-20,008,607","-28,653,430","-20,008,607","-28,653,430","-14,534,956"
"SC",22,"-75,315,665","-85,792,406","-75,315,665","-85,792,406","-76,643,927"
"SCC",1,"23,412,281","24,762,322","23,412,281","24,762,322","25,333,962"
"SCC",2,"1,161,939","1,279,037","1,161,939","1,279,037","1,176,094"
"SCC",3,"173,391","212,127","173,391","212,127","152,484"
"SCC",4,"2,647,702","2,490,882","2,647,702","2,490,882","1,632,029"
"SCC",5,"219,881","145,518","219,881","145,518","646,812"
"SCC",6,"172,020","137,549","172,020","137,549","209,313"
"SCC",7,"1,370,142","1,385,936","1,370,142","1,385,936","1,211,542"
"SCC",9,"794,451","699,761","794,451","699,761","527,603"
"SCC",12,"343,884","342,057","343,884","342,057","329,979"
"CFDC",12,"105,667,144","105,667,144","105,667,144","105,667,144","102,968,394"
"JCCB",12,"89,999,001","97,329,991","89,999,001","97,329,991","109,054,244"
"SEN",1,"67,509,100","71,012,204","67,509,100","71,012,204","70,397,876"
"SEN",2,"12,000,374","10,519,798","12,000,374","10,519,798","10,791,983"
"SEN",3,"724,720","664,726","724,720","664,726","608,626"
"SEN",4,"3,715,011","3,242,321","3,715,011","3,242,321","3,548,891"
"SEN",5,"221,881","267,049","221,881","267,049","849,455"
"SEN",6,"1,266,501","1,106,711","1,266,501","1,106,711","549,187"
"SEN",7,"933,907","739,886","933,907","739,886","727,625"
"SEN",9,"1,588,423","1,968,751","1,588,423","1,968,751","939,126"
"SEN",10,"417,267","421,522","417,267","421,522","418,926"
"SEN",12,-545,"36,712",-545,"36,712","50,093"
"TC",1,"527,203,523","542,805,283","527,203,523","542,805,283","505,410,032"
"TC",2,"47,724,546","34,000,987","47,724,546","34,000,987","21,621,155"
"TC",3,"5,161,489","2,510,157","5,161,489","2,510,157","2,859,539"
"TC",4,"179,981,959","150,491,816","179,981,959","150,491,816","106,735,421"
"TC",5,"6,513,089","8,401,873","6,513,089","8,401,873","8,642,500"
"TC",6,"27,119,962","18,187,753","27,119,962","18,187,753","13,495,555"
"TC",7,"19,697,012","19,260,092","19,697,012","19,260,092","15,964,276"
"TC",8,"35,967,592","30,272,241","35,967,592","30,272,241","37,962,738"
"TC",9,"43,173,960","20,534,607","43,173,960","20,534,607","18,241,876"
"TC",10,"410,959,895","426,683,222","410,959,895","426,683,222","607,971,822"
"TC",12,"74,813,500","116,269,240","74,813,500","116,269,240","81,198,922"
"TC",21,"-52,981,733","-52,700,705","-52,981,733","-52,700,705","-54,939,983"
"TC",22,"-37,337,192","-35,525,602","-37,337,192","-35,525,602","-32,685,684"
"CAT",1,"829,735","952,364","829,735","952,364","854,655"
"CAT",2,"183,936","184,829","183,936","184,829","113,804"
"CAT",3,"23,143","13,215","23,143","13,215",238
"CAT",4,"607,738","639,415","607,738","639,415","543,791"
"CAT",5,"31,575","36,134","31,575","36,134","23,910"
"CAT",6,"2,149","1,421","2,149","1,421","6,263"
"CAT",7,"31,540","17,557","31,540","17,557","27,111"
"CAT",9,"20,688","11,272","20,688","11,272","15,122"
"CAT",12,"1,501",0,"1,501",0,25
"TBC",1,"2,514,501,329","2,821,864,595","2,514,501,329","2,821,864,595","3,103,321,992"
"TBC",2,"5,784,094","4,361,227","5,784,094","4,361,227","2,581,751"
"TBC",3,"799,565","601,779","799,565","601,779","385,477"
"TBC",4,"91,840,151","101,895,556","91,840,151","101,895,556","87,363,685"
"TBC",5,"1,181,026","963,242","1,181,026","963,242","2,297,384"
"TBC",6,"2,417,620","1,484,828","2,417,620","1,484,828","1,235,539"
"TBC",7,"1,798,948","1,291,833","1,798,948","1,291,833","856,160"
"TBC",9,"9,972,187","10,704,598","9,972,187","10,704,598","4,647,213"
"TBC",10,"694,654","758,908","694,654","758,908","615,345"
"TBC",12,"1,540,518","-676,511","1,540,518","-676,511","3,404,698"
"TBC",21,"-7,294,903","-6,048,437","-7,294,903","-6,048,437","-7,440,748"
"TBC",22,"-369,255,153","-432,693,441","-369,255,153","-432,693,441","-437,242,483"
"VIA",12,"527,200,000","493,795,244","527,200,000","493,795,244","419,958,000"
"VAC",1,"317,168,422","333,644,417","317,168,422","333,644,417","295,941,560"
"VAC",2,"35,138,021","30,578,390","35,138,021","30,578,390","26,954,912"
"VAC",3,"4,162,256","4,408,202","4,162,256","4,408,202","4,760,586"
"VAC",4,"358,748,991","357,972,920","358,748,991","357,972,920","369,058,120"
"VAC",5,"8,078,380","7,897,321","8,078,380","7,897,321","7,071,546"
"VAC",6,"9,825,412","8,283,109","9,825,412","8,283,109","7,496,755"
"VAC",7,"208,108,561","200,462,706","208,108,561","200,462,706","181,656,674"
"VAC",8,"3,704,596","4,340,862","3,704,596","4,340,862","2,452,744"
"VAC",9,"4,533,932","4,336,180","4,533,932","4,336,180","6,584,332"
"VAC",10,"2,546,469,036","2,511,673,995","2,546,469,036","2,511,673,995","2,578,929,335"
"VAC",12,"19,457,480","33,489,149","19,457,480","33,489,149","5,321,277"
"VRAB",1,0,"11,071,464",0,"11,071,464","10,446,603"
"VRAB",2,0,"1,014,665",0,"1,014,665","909,390"
"VRAB",3,0,"1,600",0,"1,600",22
"VRAB",4,0,"448,092",0,"448,092","355,312"
"VRAB",5,0,"31,162",0,"31,162","19,947"
"VRAB",6,0,"39,118",0,"39,118","43,933"
"VRAB",7,0,"92,733",0,"92,733","73,433"
"VRAB",9,0,"47,128",0,"47,128","114,807"
"VRAB",12,0,337,0,337,23
"WDO",1,"46,364,208","44,693,989","46,364,208","44,693,989","40,426,930"
"WDO",2,"3,927,882","2,754,843","3,927,882","2,754,843","1,344,490"
"WDO",3,"386,934","250,706","386,934","250,706","254,166"
"WDO",4,"6,830,864","5,104,129","6,830,864","5,104,129","4,207,110"
"WDO",5,"707,038","877,641","707,038","877,641","1,405,971"
"WDO",6,"209,507","146,277","209,507","146,277","42,522"
"WDO",7,"591,218","450,317","591,218","450,317","261,306"
"WDO",9,"2,114,318","657,875","2,114,318","657,875","292,045"
"WDO",10,"405,357,691","140,346,496","405,357,691","140,346,496","135,483,719"
"WDO",12,"1,691","1,207","1,691","1,207",222
"ZGOC",,"232,995,033,137","228,232,832,649","232,995,033,137","228,232,832,649","227,817,423,053"
