"Organizations",,"Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2010-11","Expenditures for fiscal year  2011-12","Expenditures for fiscal year 2012-13"
"CMN",12,"33,281,985","28,591,766","33,281,985","28,591,766","34,370,062"
"CNEDA",1,"10,965,865","9,841,472","10,965,865","9,841,472","9,556,823"
"CNEDA",2,"1,830,338","1,447,261","1,830,338","1,447,261","1,250,516"
"CNEDA",3,"136,472","39,138","136,472","39,138","85,682"
"CNEDA",4,"2,887,549","1,171,206","2,887,549","1,171,206","1,756,764"
"CNEDA",5,"1,437,972","1,219,524","1,437,972","1,219,524","1,148,010"
"CNEDA",6,"862,341","7,254","862,341","7,254","1,453"
"CNEDA",7,"118,885","48,684","118,885","48,684","158,378"
"CNEDA",9,"303,127","89,817","303,127","89,817","61,485"
"CNEDA",10,"45,703,618","31,992,730","45,703,618","31,992,730","38,365,705"
"CNEDA",12,"14,385","2,742,605","14,385","2,742,605","3,794"
"AECB",1,"98,504,055","101,364,843","98,504,055","101,364,843","104,384,624"
"AECB",2,"5,546,589","5,439,426","5,546,589","5,439,426","4,760,811"
"AECB",3,"1,214,795","852,083","1,214,795","852,083","1,110,937"
"AECB",4,"14,924,145","15,933,365","14,924,145","15,933,365","17,431,435"
"AECB",5,"2,111,471","3,132,758","2,111,471","3,132,758","4,240,553"
"AECB",6,"6,974,701","2,516,332","6,974,701","2,516,332","2,097,734"
"AECB",7,"1,155,312","1,071,780","1,155,312","1,071,780","802,991"
"AECB",8,0,0,0,0,0
"AECB",9,"5,120,538","4,443,782","5,120,538","4,443,782","3,417,701"
"AECB",10,"694,752","1,163,015","694,752","1,163,015","1,451,582"
"AECB",12,"-7,770","151,780","-7,770","151,780",786
"CPCC",1,"521,810","835,068","521,810","835,068","763,088"
"CPCC",2,"143,253","70,851","143,253","70,851","191,016"
"CPCC",3,"32,163","35,075","32,163","35,075","35,189"
"CPCC",4,"186,036","171,774","186,036","171,774","164,031"
"CPCC",5,"104,855","120,858","104,855","120,858","132,258"
"CPCC",6,85,"1,396",85,"1,396",0
"CPCC",7,"3,978","5,323","3,978","5,323","9,404"
"CPCC",9,"13,133","11,707","13,133","11,707","12,749"
"CPCC",10,"10,000","10,000","10,000","10,000","10,000"
"CPCC",12,"1,333","1,157","1,333","1,157",0
"CRTC",1,"42,919,818","46,676,810","42,919,818","46,676,810","45,458,364"
"CRTC",2,"2,234,761","2,249,142","2,234,761","2,249,142","1,711,751"
"CRTC",3,"1,155,711","1,035,502","1,155,711","1,035,502","1,032,868"
"CRTC",4,"4,516,285","5,253,591","4,516,285","5,253,591","5,364,540"
"CRTC",5,"317,682","382,980","317,682","382,980","646,605"
"CRTC",6,"1,110,641","1,196,166","1,110,641","1,196,166","705,917"
"CRTC",7,"352,139","442,134","352,139","442,134","309,279"
"CRTC",9,"1,375,940","1,400,562","1,375,940","1,400,562","1,221,234"
"CRTC",12,"102,415",899,"102,415",899,"6,561"
"CRTC",21,"-42,563,949","-42,954,836","-42,563,949","-42,954,836","-41,723,359"
"CSIS",1,"299,509,854","357,811,120","299,509,854","357,811,120","324,429,817"
"CSIS",12,"215,713,442","182,074,578","215,713,442","182,074,578","171,991,133"
"CSA",1,"79,109,224","83,397,955","79,109,224","83,397,955","78,523,578"
"CSA",2,"8,078,594","7,050,932","8,078,594","7,050,932","4,517,620"
"CSA",3,"2,811,620","2,331,403","2,811,620","2,331,403","1,937,789"
"CSA",4,"205,723,876","206,161,124","205,723,876","206,161,124","115,249,284"
"CSA",5,"2,115,945","3,940,847","2,115,945","3,940,847","4,108,533"
"CSA",6,"6,745,356","3,178,977","6,745,356","3,178,977","3,061,744"
"CSA",7,"6,498,582","4,064,667","6,498,582","4,064,667","3,444,808"
"CSA",9,"16,763,653","48,138,069","16,763,653","48,138,069","75,385,326"
"CSA",10,"41,405,845","47,041,048","41,405,845","47,041,048","30,669,125"
"CSA",12,"3,583,115","3,830,493","3,583,115","3,830,493","3,347,608"
"TOUR",12,"108,564,688","82,033,975","108,564,688","82,033,975","71,495,802"
"CTAIB",1,"24,451,795","25,051,743","24,451,795","25,051,743","25,422,072"
"CTAIB",2,"1,759,359","1,979,816","1,759,359","1,979,816","1,613,455"
"CTAIB",3,"214,475","189,785","214,475","189,785","206,377"
"CTAIB",4,"2,558,042","2,497,814","2,558,042","2,497,814","2,402,582"
"CTAIB",5,"248,997","291,208","248,997","291,208","314,866"
"CTAIB",6,"536,849","480,177","536,849","480,177","405,818"
"CTAIB",7,"233,213","316,146","233,213","316,146","295,314"
"CTAIB",8,"25,090","77,565","25,090","77,565","203,840"
"CTAIB",9,"628,593","906,858","628,593","906,858","697,431"
"CTAIB",12,"41,160","2,670","41,160","2,670","94,523"
"CTA",1,"24,260,382","25,303,090","24,260,382","25,303,090","24,726,509"
"CTA",2,"649,616","527,652","649,616","527,652","574,090"
"CTA",3,"292,562","344,563","292,562","344,563","457,513"
"CTA",4,"2,076,823","1,600,167","2,076,823","1,600,167","1,604,626"
"CTA",5,"273,386","227,719","273,386","227,719","569,958"
"CTA",6,"352,480","378,303","352,480","378,303","44,927"
"CTA",7,"269,785","235,249","269,785","235,249","224,382"
"CTA",9,"606,510","548,096","606,510","548,096","499,331"
"CTA",12,"8,078","142,848","8,078","142,848",-494
"CEO",1,"54,395,313","146,819,878","54,395,313","146,819,878","49,534,178"
"CEO",2,"6,729,725","28,980,004","6,729,725","28,980,004","3,718,106"
"CEO",3,"5,039,592","18,133,166","5,039,592","18,133,166","3,646,032"
"CEO",4,"35,076,121","35,425,588","35,076,121","35,425,588","23,861,527"
"CEO",5,"7,454,367","21,979,942","7,454,367","21,979,942","4,287,411"
"CEO",6,"3,304,224","4,543,348","3,304,224","4,543,348","3,265,748"
"CEO",7,"794,819","1,081,168","794,819","1,081,168","363,216"
"CEO",8,"1,012,941","657,902","1,012,941","657,902","3,936,704"
"CEO",9,"3,817,008","1,906,113","3,817,008","1,906,113","2,824,050"
"CEO",10,"29,284,693","89,789,621","29,284,693","89,789,621","24,321,682"
"CEO",12,"108,834","35,265","108,834","35,265","-178,460"
"CI",1,"395,585,925","431,669,111","395,585,925","431,669,111","409,244,794"
"CI",2,"27,169,306","19,559,489","27,169,306","19,559,489","18,544,582"
"CI",3,"9,334,332","6,405,984","9,334,332","6,405,984","7,353,618"
"CI",4,"153,179,682","143,579,349","153,179,682","143,579,349","111,445,457"
"CI",5,"13,389,862","8,718,934","13,389,862","8,718,934","9,922,774"
"CI",6,"9,640,274","4,924,408","9,640,274","4,924,408","2,869,102"
"CI",7,"9,088,064","5,805,181","9,088,064","5,805,181","6,234,865"
"CI",9,"10,863,733","5,528,336","10,863,733","5,528,336","8,484,053"
"CI",10,"953,050,395","948,590,233","953,050,395","948,590,233","933,201,547"
"CI",12,"8,766,669","8,709,722","8,766,669","8,709,722","16,024,676"
"FJA",1,"412,629,367","431,594,116","412,629,367","431,594,116","444,739,311"
"FJA",2,"31,845,877","29,714,815","31,845,877","29,714,815","29,477,825"
"FJA",3,"91,225","174,341","91,225","174,341","72,316"
"FJA",4,"3,315,104","3,842,800","3,315,104","3,842,800","4,921,703"
"FJA",5,"95,579","115,093","95,579","115,093","186,197"
"FJA",6,"104,266","146,057","104,266","146,057","129,182"
"FJA",7,"93,406","98,582","93,406","98,582","119,096"
"FJA",9,"286,978","171,830","286,978","171,830","347,444"
"FJA",12,"5,330,972","5,534,929","5,330,972","5,534,929","5,269,773"
"FJA",21,"-25,000",0,"-25,000",0,0
"FJA",22,"-181,396","-209,409","-181,396","-209,409","-160,248"
"CSEC",1,0,"79,779,600",0,"79,779,600","227,551,448"
"CSEC",2,0,0,0,0,0
"CSEC",12,0,"172,076,979",0,"172,076,979","186,943,108"
"CSEC",21,0,0,0,0,0
"CSEC",22,0,0,0,0,0
"CB",1,"1,808,591","1,799,405","1,808,591","1,799,405","1,754,505"
"CB",2,"199,041","172,249","199,041","172,249","166,332"
"CB",3,"50,292","64,034","50,292","64,034","115,692"
"CB",4,"382,073","397,482","382,073","397,482","355,126"
"CB",5,"66,962","66,673","66,962","66,673","72,333"
"CB",6,716,506,716,506,"2,022"
"CB",7,"38,848","33,212","38,848","33,212","36,796"
"CB",9,"17,318","7,670","17,318","7,670","6,172"
"CB",12,"2,102",42,"2,102",42,7
"CSC",1,"1,606,846,625","1,769,668,963","1,606,846,625","1,769,668,963","1,706,086,005"
"CSC",2,"54,754,259","55,183,725","54,754,259","55,183,725","32,151,728"
"CSC",3,"1,564,353","1,751,968","1,564,353","1,751,968","871,764"
"CSC",4,"308,356,647","323,036,574","308,356,647","323,036,574","314,411,643"
"CSC",5,"15,288,324","15,429,424","15,288,324","15,429,424","20,521,103"
"CSC",6,"46,647,292","41,912,883","46,647,292","41,912,883","27,424,690"
"CSC",7,"135,408,272","135,974,600","135,408,272","135,974,600","130,621,561"
"CSC",8,"141,932,199","258,719,336","141,932,199","258,719,336","378,074,706"
"CSC",9,"76,052,191","75,462,018","76,052,191","75,462,018","43,809,745"
"CSC",10,"1,478,355","1,483,549","1,478,355","1,483,549","843,726"
"CSC",12,"72,655,662","76,629,090","72,655,662","76,629,090","75,127,246"
"CSC",21,"-8,181,926","-6,716,665","-8,181,926","-6,716,665","-6,828,029"
